Gene,Transcrit,Protein,Accession
Acc08691,Acc08691.1,b11.a7.a1,PSS17962
Acc08699,Acc08699.1,b35.b11.a1,PSS23844
Acc08707,Acc08707.1,d2502.a1.a1,PSS23852
Acc08708,Acc08708.1,d1111.a3.a1,PSS23853
Acc08742,Acc08742.1,c128.a7.a1,PSS23887
Acc08749,Acc08749.1,d1247.a2.a1,PSS23893
Acc08750,Acc08750.1,d1315.a1.a1,PSS23894
Acc08765,Acc08765.1,c532.a2.a1,PSS23909
Acc08769,Acc08769.1,d1390.a1.a1,PSS23913
Acc08770,Acc08770.1,d2823.a1.a1,PSS23914
Acc08774,Acc08774.1,c584.a3.a1,PSS23918
Acc08781,Acc08781.1,c233.a5.a1,PSS23925
Acc08785,Acc08785.1,d2595.a1.a1,PSS23929
Acc08788,Acc08788.1,c544.a3.a1,PSS23932
Acc08789,Acc08789.1,d2905.a1.a1,PSS23933
Acc08790,Acc08790.1,c665.a1.a1,PSS23934
Acc08793,Acc08793.1,d1550.a2.a1,PSS23937
Acc08798,Acc08798.1,b23.a1.a1,PSS23942
Acc08799,Acc08799.1,b40.a2.a1,PSS23943
Acc08800,Acc08800.1,d2397.a1.a1,PSS23944
Acc08839,Acc08839.1,c885.a2.a1,PSS23979
Acc08847,Acc08847.1,d1297.a2.a1,PSS24512
Acc08851,Acc08851.1,c311.a1.a1,PSS24516
Acc08868,Acc08868.1,c482.b27.a1,PSS23993
Acc08875,Acc08875.1,b96.a1.a1,PSS24000
Acc08884,Acc08884.1,c679.a2.a1,PSS24009
Acc08888,Acc08888.1,d1963.a1.a1,PSS24013
Acc08894,Acc08894.1,c572.a2.a1,PSS24019
Acc08921,Acc08921.1,d1005.a1.a1,PSS24044
Acc08939,Acc08939.1,d1668.a1.a1,PSS24060
Acc08955,Acc08955.1,d3362.a1.a1,PSS24076
Acc08963,Acc08963.1,c103.a2.a1,PSS24083
Acc08964,Acc08964.1,d2337.a1.a1,PSS24084
Acc08968,Acc08968.1,c280.a2.a1,PSS24088
Acc08969,Acc08969.1,c280.a3.a1,PSS24089
Acc08970,Acc08970.1,c253.a3.a1,PSS24090
Acc08982,Acc08982.1,c482.b20.a1,PSS24102
Acc08983,Acc08983.1,c471.a4.a1,PSS24103
Acc08993,Acc08993.1,c409.a1.a1,PSS24113
Acc08994,Acc08994.1,c456.a6.a1,PSS24114
Acc09012,Acc09012.1,d1348.a2.a1,PSS24132
Acc09032,Acc09032.1,b13.a1.a1,PSS24152
Acc09045,Acc09045.1,d2843.a1.a1,PSS24165
Acc09046,Acc09046.1,c425.a2.a1,PSS24166
Acc09051,Acc09051.1,c410.a1.a1,PSS24171
Acc09055,Acc09055.1,c998.a2.a1,PSS24175
Acc09061,Acc09061.1,d1465.a1.a1,PSS24181
Acc09071,Acc09071.1,c177.a1.a1,PSS24191
Acc09075,Acc09075.1,d3133.a1.a1,PSS24195
Acc09087,Acc09087.1,d1241.a2.a1,PSS24339
Acc09097,Acc09097.1,d1280.a1.a1,PSS24349
Acc09098,Acc09098.1,d2078.a1.a1,PSS24350
Acc09105,Acc09105.1,c146.a1.a1,PSS24357
Acc09106,Acc09106.1,d1984.a1.a1,PSS24358
Acc09107,Acc09107.1,c388.a1.a1,PSS24359
Acc09109,Acc09109.1,d2059.a1.a1,PSS24361
Acc09114,Acc09114.1,c763.a2.a1,PSS24366
Acc09128,Acc09128.1,d1665.a1.a1,PSS24295
Acc09132,Acc09132.1,d2572.a1.a1,PSS24291
Acc09135,Acc09135.1,c364.a4.a1,PSS24289
Acc09137,Acc09137.1,d1723.a1.a1,PSS24287
Acc09140,Acc09140.1,d1197.a1.a1,PSS24284
Acc09144,Acc09144.1,d2863.a1.a1,PSS24280
Acc09151,Acc09151.1,d2633.a1.a1,PSS24274
Acc09155,Acc09155.1,d1476.a1.a1,PSS24270
Acc09156,Acc09156.1,c649.a5.a1,PSS24269
Acc09158,Acc09158.1,d1300.a2.a1,PSS24267
Acc09162,Acc09162.1,d1999.a1.a1,PSS24263
Acc09165,Acc09165.1,c781.a2.a1,PSS24260
Acc09171,Acc09171.1,c888.a3.a1,PSS24234
Acc09220,Acc09220.1,c219.a8.a1,PSS24224
Acc09226,Acc09226.1,c416.a2.a1,PSS24230
Acc09229,Acc09229.1,d1786.a1.a1,PSS24307
Acc09234,Acc09234.1,b64.a1.a1,PSS24312
Acc09236,Acc09236.1,d2012.a1.a1,PSS24314
Acc09249,Acc09249.1,d1820.a1.a1,PSS24327
Acc09256,Acc09256.1,b58.a3.a1,PSS24414
Acc09261,Acc09261.1,d2024.a1.a1,PSS24419
Acc09278,Acc09278.1,c124.a1.a1,PSS24436
Acc09281,Acc09281.1,d1730.a2.a1,PSS24439
Acc09284,Acc09284.1,d2438.a1.a1,PSS24442
Acc09294,Acc09294.1,c662.a1.a1,PSS24453
Acc09298,Acc09298.1,d1729.a1.a1,PSS24457
Acc09314,Acc09314.1,c331.a2.a1,PSS24473
Acc09318,Acc09318.1,d1966.a1.a1,PSS24477
Acc09320,Acc09320.1,c482.b31.a1,PSS24479
Acc09324,Acc09324.1,d2537.a1.a1,PSS24483
Acc09341,Acc09341.1,d2019.a2.a1,PSS24500
Acc09359,Acc09359.1,d2613.a1.a1,PSS24535
Acc09369,Acc09369.1,d2673.a1.a1,PSS24545
Acc09370,Acc09370.1,d2090.a1.a1,PSS24546
Acc09378,Acc09378.1,c233.a3.a1,PSS24554
Acc09380,Acc09380.1,d1272.a1.a1,PSS24556
Acc09381,Acc09381.1,d1272.a2.a1,PSS24557
Acc09387,Acc09387.1,d2186.a1.a1,PSS24563
Acc09396,Acc09396.1,d2398.a1.a1,PSS24572
Acc09399,Acc09399.1,c552.a1.a1,PSS24839
Acc09401,Acc09401.1,c751.a2.a1,PSS24841
Acc09403,Acc09403.1,c219.a2.a1,PSS24843
Acc09404,Acc09404.1,c174.a2.a1,PSS24844
Acc09413,Acc09413.1,d1806.a2.a1,PSS24853
Acc09418,Acc09418.1,d2492.a1.a1,PSS24858
Acc09422,Acc09422.1,d1391.a2.a1,PSS24862
Acc09423,Acc09423.1,d1009.a2.a1,PSS24863
Acc09426,Acc09426.1,d1735.a2.a1,PSS24866
Acc09427,Acc09427.1,d1347.a1.a1,PSS24867
Acc09428,Acc09428.1,d1494.a1.a1,PSS24868
Acc09429,Acc09429.1,d2085.a1.a1,PSS24869
Acc09436,Acc09436.1,d1281.a1.a1,PSS24876
Acc09443,Acc09443.1,d2557.a2.a1,PSS24883
Acc09466,Acc09466.1,c314.a7.a1,PSS24906
Acc09469,Acc09469.1,d1158.a2.a1,PSS24909
Acc09477,Acc09477.1,d2377.a1.a1,PSS24917
Acc09478,Acc09478.1,d3332.a2.a1,PSS24918
Acc09481,Acc09481.1,d2585.a1.a1,PSS24921
Acc09490,Acc09490.1,c948.a1.a1,PSS24930
Acc09496,Acc09496.1,a3.a2.a1,PSS24579
Acc09504,Acc09504.1,c784.a2.a1,PSS24587
Acc09507,Acc09507.1,a9.b13.a1,PSS24591
Acc09511,Acc09511.1,d3001.a1.a1,PSS24595
Acc09517,Acc09517.1,d3261.a1.a1,PSS24602
Acc09542,Acc09542.1,d2278.a1.a1,PSS24627
Acc09544,Acc09544.1,d2897.a1.a1,PSS24629
Acc09549,Acc09549.1,c349.a1.a1,PSS24633
Acc09561,Acc09561.1,c543.a2.a1,PSS24645
Acc09566,Acc09566.1,d1878.a1.a1,PSS24650
Acc09568,Acc09568.1,c806.a1.a1,PSS24652
Acc09574,Acc09574.1,d2045.a1.a1,PSS24658
Acc09576,Acc09576.1,b74.a1.a1,PSS24660
Acc09578,Acc09578.1,d2548.a1.a1,PSS24662
Acc09582,Acc09582.1,d2105.a1.a1,PSS24666
Acc09593,Acc09593.1,c465.a2.a1,PSS24677
Acc09594,Acc09594.1,d1077.a1.a1,PSS24678
Acc09607,Acc09607.1,c971.a1.a1,PSS24690
Acc09610,Acc09610.1,d1165.a2.a1,PSS24693
Acc09626,Acc09626.1,d1122.a1.a1,PSS24709
Acc09639,Acc09639.1,c493.a2.a1,PSS24722
Acc09645,Acc09645.1,d2824.a1.a1,PSS24728
Acc09671,Acc09671.1,c126.a3.a1,PSS24754
Acc09677,Acc09677.1,d3332.a1.a1,PSS24760
Acc09691,Acc09691.1,d2856.a1.a1,PSS24774
Acc09693,Acc09693.1,d3262.a1.a1,PSS24776
Acc09702,Acc09702.1,c522.a1.a1,PSS24785
Acc09709,Acc09709.1,d3101.a1.a1,PSS24792
Acc09717,Acc09717.1,d1087.a2.a1,PSS24800
Acc09722,Acc09722.1,c839.a1.a1,PSS24806
Acc09725,Acc09725.1,c100.a1.a1,PSS24809
Acc09726,Acc09726.1,c537.a1.a1,PSS24810
Acc09735,Acc09735.1,c595.a1.a1,PSS24819
Acc09741,Acc09741.1,c185.a1.a1,PSS24825
Acc09753,Acc09753.1,d1010.a1.a1,PSS24837
Acc09758,Acc09758.1,b29.a6.a1,PSS24935
Acc09768,Acc09768.1,b43.a1.a1,PSS20728
Acc09770,Acc09770.1,c294.a2.a1,PSS20730
Acc09780,Acc09780.1,c544.a4.a1,PSS20741
Acc09783,Acc09783.1,d2865.a1.a1,PSS20744
Acc09789,Acc09789.1,c589.a1.a1,PSS20750
Acc09795,Acc09795.1,b88.a4.a1,PSS20756
Acc09799,Acc09799.1,d1455.a2.a1,PSS20760
Acc09808,Acc09808.1,d3258.a1.a1,PSS20769
Acc09814,Acc09814.1,c497.a1.a1,PSS20775
Acc09816,Acc09816.1,d2820.a1.a1,PSS20777
Acc09824,Acc09824.1,d1135.a3.a1,PSS20784
Acc09827,Acc09827.1,c730.a1.a1,PSS20787
Acc09828,Acc09828.1,d1722.a1.a1,PSS20788
Acc09852,Acc09852.1,d1374.a2.a1,PSS20812
Acc09855,Acc09855.1,d1896.a1.a1,PSS20815
Acc09857,Acc09857.1,d3100.a1.a1,PSS20817
Acc09859,Acc09859.1,d1152.a1.a1,PSS20819
Acc09869,Acc09869.1,d2966.a1.a1,PSS20830
Acc09870,Acc09870.1,c354.a5.a1,PSS20831
Acc09874,Acc09874.1,c581.a7.a1,PSS20835
Acc09875,Acc09875.1,d1741.a3.a1,PSS20836
Acc09878,Acc09878.1,c479.a4.a1,PSS20839
Acc09883,Acc09883.1,d3042.a1.a1,PSS20844
Acc09885,Acc09885.1,b39.a1.a1,PSS20846
Acc09887,Acc09887.1,d1306.a1.a1,PSS20848
Acc09891,Acc09891.1,c759.a1.a1,PSS20852
Acc09903,Acc09903.1,d2821.a1.a1,PSS20864
Acc09905,Acc09905.1,c104.a1.a1,PSS20866
Acc09908,Acc09908.1,d1268.a1.a1,PSS20869
Acc09921,Acc09921.1,d1265.a2.a1,PSS20882
Acc09926,Acc09926.1,d1467.a1.a1,PSS20887
Acc09929,Acc09929.1,d2773.a1.a1,PSS20890
Acc09942,Acc09942.1,d2512.a1.a1,PSS20903
Acc09952,Acc09952.1,d2639.a1.a1,PSS20913
Acc09963,Acc09963.1,d2104.a1.a1,PSS20924
Acc09969,Acc09969.1,d1618.a1.a1,PSS20930
Acc09982,Acc09982.1,c850.a3.a1,PSS20943
Acc09984,Acc09984.1,d1292.a2.a1,PSS20945
Acc09999,Acc09999.1,d1461.a1.a1,PSS20960
Acc10000,Acc10000.1,c834.a1.a1,PSS20961
Acc10004,Acc10004.1,d3043.a1.a1,PSS20965
Acc10009,Acc10009.1,c700.a1.a1,PSS20970
Acc10021,Acc10021.1,d2145.a2.a1,PSS20982
Acc10024,Acc10024.1,d1434.a1.a1,PSS20985
Acc10033,Acc10033.1,d1664.a2.a1,PSS20993
Acc10035,Acc10035.1,c310.a4.a1,PSS20995
Acc10041,Acc10041.1,d2896.a1.a1,PSS21001
Acc10042,Acc10042.1,d2753.a1.a1,PSS21002
Acc10047,Acc10047.1,c333.a4.a1,PSS21007
Acc10065,Acc10065.1,d1252.a1.a1,PSS21025
Acc10072,Acc10072.1,c154.a3.a1,PSS21032
Acc10075,Acc10075.1,c333.a9.a1,PSS21035
Acc10085,Acc10085.1,c251.a1.a1,PSS21045
Acc10099,Acc10099.1,d3053.a1.a1,PSS21059
Acc10118,Acc10118.1,c314.a1.a1,PSS21078
Acc10119,Acc10119.1,d1760.a1.a1,PSS21079
Acc10120,Acc10120.1,c862.a2.a1,PSS21080
Acc10121,Acc10121.1,d1837.a1.a1,PSS21081
Acc10124,Acc10124.1,d3326.a1.a1,PSS21084
Acc10133,Acc10133.1,d3408.a1.a1,PSS21093
Acc10134,Acc10134.1,c268.a1.a1,PSS21094
Acc10139,Acc10139.1,d1994.a1.a1,PSS21099
Acc10142,Acc10142.1,c417.a1.a1,PSS21101
Acc10143,Acc10143.1,c178.a1.a1,PSS21102
Acc10146,Acc10146.1,c787.a1.a1,PSS21105
Acc10153,Acc10153.1,c696.a7.a1,PSS21112
Acc10172,Acc10172.1,d1785.a1.a1,PSS21131
Acc10182,Acc10182.1,c364.a2.a1,PSS21141
Acc10196,Acc10196.1,d3225.a1.a1,PSS21154
Acc10203,Acc10203.1,c275.a2.a1,PSS21161
Acc10207,Acc10207.1,d2887.a1.a1,PSS21165
Acc10209,Acc10209.1,d2269.a2.a1,PSS21167
Acc10211,Acc10211.1,b49.a2.a1,PSS21169
Acc10213,Acc10213.1,d3327.a1.a1,PSS21171
Acc10221,Acc10221.1,d2957.a1.a1,PSS21179
Acc10225,Acc10225.1,c239.a3.a1,PSS21183
Acc10251,Acc10251.1,d2690.a1.a1,PSS21208
Acc10258,Acc10258.1,d2646.a1.a1,PSS21214
Acc10272,Acc10272.1,d1104.a1.a1,PSS21228
Acc10274,Acc10274.1,c644.a4.a1,PSS21230
Acc10282,Acc10282.1,d2410.a2.a1,PSS21238
Acc10288,Acc10288.1,c428.a1.a1,PSS21244
Acc10292,Acc10292.1,d2368.a1.a1,PSS21248
Acc10299,Acc10299.1,d3159.a1.a1,PSS21255
Acc10321,Acc10321.1,d1574.a1.a1,PSS21277
Acc10327,Acc10327.1,d1936.a1.a1,PSS21283
Acc10330,Acc10330.1,d2791.a1.a1,PSS21286
Acc10345,Acc10345.1,c160.a1.a1,PSS21303
Acc10349,Acc10349.1,c575.a2.a1,PSS21307
Acc10351,Acc10351.1,c575.a1.a1,PSS21309
Acc10355,Acc10355.1,c188.a1.a1,PSS21313
Acc10356,Acc10356.1,c868.a1.a1,PSS21314
Acc10358,Acc10358.1,c869.a1.a1,PSS21316
Acc10359,Acc10359.1,d3409.a1.a1,PSS21317
Acc10365,Acc10365.1,c831.a1.a1,PSS21323
Acc10368,Acc10368.1,d2584.a1.a1,PSS21326
Acc10371,Acc10371.1,d3328.a1.a1,PSS21329
Acc10402,Acc10402.1,d2566.a1.a1,PSS21359
Acc10410,Acc10410.1,d3259.a1.a1,PSS21367
Acc10421,Acc10421.1,d1174.a2.a1,PSS21378
Acc10435,Acc10435.1,d2215.a1.a1,PSS21391
Acc10436,Acc10436.1,d1471.a1.a1,PSS21392
Acc10450,Acc10450.1,b49.a3.a1,PSS21406
Acc10452,Acc10452.1,c538.a2.a1,PSS21408
Acc10453,Acc10453.1,d2233.a1.a1,PSS21409
Acc10456,Acc10456.1,d1475.a1.a1,PSS21412
Acc10459,Acc10459.1,b61.a4.a1,PSS21415
Acc10472,Acc10472.1,d2010.a1.a1,PSS21428
Acc10474,Acc10474.1,d1855.a1.a1,PSS21430
Acc10477,Acc10477.1,d1251.a4.a1,PSS21433
Acc10485,Acc10485.1,c151.a2.a1,PSS21441
Acc10490,Acc10490.1,d2754.a1.a1,PSS21446
Acc10495,Acc10495.1,c131.a2.a1,PSS21451
Acc10500,Acc10500.1,d1546.a2.a1,PSS21456
Acc10507,Acc10507.1,d2292.a2.a1,PSS21463
Acc10513,Acc10513.1,c220.a4.a1,PSS21469
Acc10515,Acc10515.1,d3130.a1.a1,PSS21471
Acc10518,Acc10518.1,d2369.a1.a1,PSS21474
Acc10521,Acc10521.1,d3260.a1.a1,PSS21477
Acc10529,Acc10529.1,c354.a4.a1,PSS21485
Acc10532,Acc10532.1,d2672.a1.a1,PSS21488
Acc10539,Acc10539.1,c803.a2.a1,PSS21495
Acc10542,Acc10542.1,d2792.a1.a1,PSS21498
Acc10545,Acc10545.1,d2647.a1.a1,PSS21501
Acc10553,Acc10553.1,d1083.a1.a1,PSS21507
Acc10561,Acc10561.1,c176.a1.a1,PSS21515
Acc10565,Acc10565.1,c686.a3.a1,PSS21519
Acc10568,Acc10568.1,c843.a2.a1,PSS21521
Acc10572,Acc10572.1,d1587.a1.a1,PSS21524
Acc10576,Acc10576.1,d3109.a1.a1,PSS21528
Acc10577,Acc10577.1,d3410.a1.a1,PSS21529
Acc10580,Acc10580.1,d1732.a1.a1,PSS21532
Acc10583,Acc10583.1,d1807.a1.a1,PSS21535
Acc10590,Acc10590.1,c528.a1.a1,PSS21542
Acc10591,Acc10591.1,d2967.a1.a1,PSS21543
Acc10598,Acc10598.1,c681.a1.a1,PSS21550
Acc10600,Acc10600.1,c766.a1.a1,PSS21552
Acc10617,Acc10617.1,d2982.a1.a1,PSS21569
Acc10618,Acc10618.1,d1838.a1.a1,PSS21570
Acc10621,Acc10621.1,c578.a1.a1,PSS21573
Acc10624,Acc10624.1,b13.a2.a1,PSS21576
Acc10625,Acc10625.1,c628.a1.a1,PSS21577
Acc10630,Acc10630.1,c800.a2.a1,PSS21582
Acc10646,Acc10646.1,d1465.a2.a1,PSS21597
Acc10653,Acc10653.1,b81.a3.a1,PSS21604
Acc10657,Acc10657.1,c260.a3.a1,PSS21608
Acc10658,Acc10658.1,d2648.a1.a1,PSS21609
Acc10670,Acc10670.1,d2464.a1.a1,PSS21621
Acc10684,Acc10684.1,c595.a6.a1,PSS21635
Acc10692,Acc10692.1,d1355.a1.a1,PSS21643
Acc10694,Acc10694.1,c163.a3.a1,PSS21645
Acc10696,Acc10696.1,d2358.a1.a1,PSS21647
Acc10699,Acc10699.1,d1543.a4.a1,PSS21650
Acc10703,Acc10703.1,c317.a1.a1,PSS21654
Acc10708,Acc10708.1,d3329.a1.a1,PSS21659
Acc10710,Acc10710.1,c555.a1.a1,PSS21661
Acc10714,Acc10714.1,d2011.a1.a1,PSS21665
Acc10728,Acc10728.1,d1736.a1.a1,PSS21679
Acc10730,Acc10730.1,b41.a3.a1,PSS21681
Acc10733,Acc10733.1,d2793.a1.a1,PSS21684
Acc10735,Acc10735.1,d2564.a1.a1,PSS21686
Acc10736,Acc10736.1,c111.a8.a1,PSS21687
Acc10740,Acc10740.1,b80.a1.a1,PSS21691
Acc10744,Acc10744.1,d1053.a1.a1,PSS21695
Acc10746,Acc10746.1,d3330.a1.a1,PSS21697
Acc10748,Acc10748.1,d2458.a2.a1,PSS21699
Acc10749,Acc10749.1,c796.a3.a1,PSS21700
Acc10755,Acc10755.1,c323.a3.a1,PSS21706
Acc10757,Acc10757.1,d1307.a2.a1,PSS21708
Acc10762,Acc10762.1,d1653.a1.a1,PSS21713
Acc10768,Acc10768.1,d2917.a1.a1,PSS21719
Acc10773,Acc10773.1,d2451.a1.a1,PSS21724
Acc10775,Acc10775.1,b85.a1.a1,PSS21726
Acc10777,Acc10777.1,d2822.a1.a1,PSS21728
Acc10790,Acc10790.1,d1480.a1.a1,PSS21741
Acc10792,Acc10792.1,d1378.a1.a1,PSS21743
Acc10806,Acc10806.1,d1219.a1.a1,PSS21756
Acc10808,Acc10808.1,c206.a4.a1,PSS21758
Acc10809,Acc10809.1,d2682.a1.a1,PSS21759
Acc10810,Acc10810.1,c302.a1.a1,PSS21760
Acc10811,Acc10811.1,d1337.a1.a1,PSS21761
Acc10817,Acc10817.1,b94.a1.a1,PSS21767
Acc10824,Acc10824.1,d1585.a2.a1,PSS21774
Acc10832,Acc10832.1,d1125.a2.a1,PSS21781
Acc10833,Acc10833.1,d3331.a1.a1,PSS21782
Acc10836,Acc10836.1,d2530.a1.a1,PSS21785
Acc10849,Acc10849.1,d1688.a1.a1,PSS21798
Acc10854,Acc10854.1,d1269.a1.a1,PSS21803
Acc10859,Acc10859.1,c808.a3.a1,PSS21808
Acc10860,Acc10860.1,c395.a1.a1,PSS21809
Acc10861,Acc10861.1,d3411.a1.a1,PSS21810
Acc10866,Acc10866.1,c548.a1.a1,PSS21814
Acc10875,Acc10875.1,d1164.a2.a1,PSS21823
Acc10878,Acc10878.1,c263.a1.a1,PSS21826
Acc10881,Acc10881.1,d1431.a1.a1,PSS21829
Acc10885,Acc10885.1,d3131.a1.a1,PSS21833
Acc10902,Acc10902.1,c310.a5.a1,PSS18962
Acc10911,Acc10911.1,c245.a8.a1,PSS18969
Acc10912,Acc10912.1,d1459.a1.a1,PSS18970
Acc10914,Acc10914.1,c875.a2.a1,PSS18972
Acc10915,Acc10915.1,d2409.a1.a1,PSS18973
Acc10916,Acc10916.2,d1929.a1.a1,PSS18974
Acc10920,Acc10920.1,d1088.a2.a1,PSS18978
Acc10921,Acc10921.1,c595.a3.a1,PSS18979
Acc10926,Acc10926.1,c163.a5.a1,PSS18984
Acc10929,Acc10929.1,d1543.a1.a1,PSS18987
Acc10932,Acc10932.1,d2415.a1.a1,PSS18990
Acc10935,Acc10935.1,d1860.a1.a1,PSS18993
Acc10945,Acc10945.1,d2049.a2.a1,PSS19003
Acc10949,Acc10949.1,c119.a1.a1,PSS19007
Acc10953,Acc10953.1,d2491.a1.a1,PSS19011
Acc10954,Acc10954.1,c135.a3.a1,PSS19012
Acc10961,Acc10961.1,d1602.a1.a1,PSS19019
Acc10964,Acc10964.1,c286.a1.a1,PSS19022
Acc10970,Acc10970.1,c327.a1.a1,PSS19028
Acc10973,Acc10973.1,c240.a3.a1,PSS19031
Acc10974,Acc10974.1,d3403.a1.a1,PSS19032
Acc10976,Acc10976.1,d2040.a2.a1,PSS19034
Acc10978,Acc10978.1,d3277.a1.a1,PSS19036
Acc10983,Acc10983.1,d1513.a2.a1,PSS19041
Acc10985,Acc10985.1,b40.a3.a1,PSS19043
Acc10986,Acc10986.1,c148.a2.a1,PSS19044
Acc10994,Acc10994.1,d2219.a1.a1,PSS19052
Acc10999,Acc10999.1,d2290.a3.a1,PSS19057
Acc11009,Acc11009.1,d2168.a2.a1,PSS19067
Acc11024,Acc11024.1,d2494.a1.a1,PSS19082
Acc11027,Acc11027.1,c225.a2.a1,PSS19085
Acc11040,Acc11040.1,c858.a2.a1,PSS19097
Acc11041,Acc11041.1,d3224.a1.a1,PSS19098
Acc11047,Acc11047.1,d2644.a2.a1,PSS19625
Acc11048,Acc11048.1,d2752.a1.a1,PSS19626
Acc11070,Acc11070.1,d3407.a1.a1,PSS19647
Acc11073,Acc11073.1,c639.a1.a1,PSS19650
Acc11082,Acc11082.1,d2790.a1.a1,PSS19605
Acc11086,Acc11086.1,c128.a3.a1,PSS19608
Acc11091,Acc11091.1,d1401.a7.a1,PSS19612
Acc11092,Acc11092.1,d1027.a2.a1,PSS19613
Acc11097,Acc11097.1,d3406.a1.a1,PSS19618
Acc11099,Acc11099.1,c150.a7.a1,PSS19620
Acc11110,Acc11110.1,c245.a5.a1,PSS19666
Acc11112,Acc11112.1,b92.a4.a1,PSS19668
Acc11114,Acc11114.1,c937.a3.a1,PSS19670
Acc11116,Acc11116.1,c273.a1.a1,PSS19672
Acc11118,Acc11118.1,d2772.a1.a1,PSS19101
Acc11124,Acc11124.1,c128.a4.a1,PSS19107
Acc11130,Acc11130.1,c325.a2.a1,PSS19112
Acc11132,Acc11132.1,b41.a1.a1,PSS19114
Acc11136,Acc11136.1,d1559.a1.a1,PSS19118
Acc11142,Acc11142.1,d1396.a2.a1,PSS19123
Acc11144,Acc11144.1,c540.a1.a1,PSS19125
Acc11149,Acc11149.1,c795.a1.a1,PSS19130
Acc11158,Acc11158.1,c666.a2.a1,PSS19139
Acc11159,Acc11159.1,d1385.a1.a1,PSS19140
Acc11161,Acc11161.1,d1901.a1.a1,PSS19142
Acc11162,Acc11162.1,c212.a2.a1,PSS19143
Acc11167,Acc11167.1,c669.a2.a1,PSS19148
Acc11169,Acc11169.1,d1580.a1.a1,PSS19150
Acc11173,Acc11173.1,d2594.a1.a1,PSS19154
Acc11187,Acc11187.1,d2335.a1.a1,PSS19167
Acc11191,Acc11191.1,d3404.a1.a1,PSS19171
Acc11195,Acc11195.1,d1714.a1.a1,PSS19174
Acc11200,Acc11200.1,d2235.a1.a1,PSS19179
Acc11205,Acc11205.1,d2468.a1.a1,PSS19184
Acc11209,Acc11209.1,d1451.a3.a1,PSS19188
Acc11222,Acc11222.1,d2842.a1.a1,PSS19201
Acc11227,Acc11227.1,c553.a2.a1,PSS19206
Acc11232,Acc11232.1,c935.a1.a1,PSS19211
Acc11243,Acc11243.1,d1977.a1.a1,PSS19222
Acc11272,Acc11272.1,d2313.a1.a1,PSS19231
Acc11274,Acc11274.1,d1635.a1.a1,PSS19233
Acc11286,Acc11286.1,d2890.a1.a1,PSS19244
Acc11296,Acc11296.1,d1636.a1.a1,PSS19253
Acc11301,Acc11301.1,d2999.a1.a1,PSS19257
Acc11305,Acc11305.1,d2632.a1.a1,PSS19261
Acc11334,Acc11334.1,c743.a1.a1,PSS19288
Acc11350,Acc11350.1,d2159.a1.a1,PSS19300
Acc11351,Acc11351.1,d2176.a1.a1,PSS19301
Acc11365,Acc11365.1,c337.a2.a1,PSS19317
Acc11366,Acc11366.1,d2542.a2.a1,PSS19318
Acc11376,Acc11376.1,d1908.a1.a1,PSS19328
Acc11385,Acc11385.1,c397.a2.a1,PSS19336
Acc11386,Acc11386.1,c397.a3.a1,PSS19337
Acc11390,Acc11390.1,b84.a1.a1,PSS19341
Acc11391,Acc11391.1,d3198.a1.a1,PSS19342
Acc11397,Acc11397.1,d1638.a1.a1,PSS19348
Acc11414,Acc11414.1,c404.a2.a1,PSS19363
Acc11419,Acc11419.1,d2689.a1.a1,PSS19368
Acc11423,Acc11423.1,c455.a2.a1,PSS19372
Acc11427,Acc11427.1,d2097.a1.a1,PSS19376
Acc11428,Acc11428.1,c659.a1.a1,PSS19377
Acc11442,Acc11442.1,c903.a1.a1,PSS19392
Acc11445,Acc11445.1,d2671.a1.a1,PSS19395
Acc11446,Acc11446.1,a9.b15.a1,PSS19396
Acc11447,Acc11447.1,d2075.a1.a1,PSS19397
Acc11453,Acc11453.1,d3157.a1.a1,PSS19403
Acc11465,Acc11465.1,d1486.a1.a1,PSS19415
Acc11481,Acc11481.1,d1836.a1.a1,PSS19431
Acc11487,Acc11487.1,d2981.a1.a1,PSS19437
Acc11493,Acc11493.1,c869.a3.a1,PSS19442
Acc11505,Acc11505.1,d1019.a1.a1,PSS19927
Acc11507,Acc11507.1,d1076.a1.a1,PSS19925
Acc11510,Acc11510.1,d3158.a1.a1,PSS19922
Acc11520,Acc11520.1,c199.a3.a1,PSS19913
Acc11522,Acc11522.1,d1943.a1.a1,PSS19911
Acc11528,Acc11528.1,c265.a1.a1,PSS19906
Acc11529,Acc11529.1,d1167.a1.a1,PSS19905
Acc11532,Acc11532.1,d3000.a1.a1,PSS19902
Acc11560,Acc11560.1,d2920.a1.a1,PSS19469
Acc11561,Acc11561.1,d2154.a1.a1,PSS19470
Acc11566,Acc11566.1,c101.a2.a1,PSS19475
Acc11567,Acc11567.1,d1621.a1.a1,PSS19476
Acc11570,Acc11570.1,d3257.a1.a1,PSS19479
Acc11579,Acc11579.1,d2416.a1.a1,PSS19488
Acc11580,Acc11580.1,c733.a1.a1,PSS19489
Acc11582,Acc11582.1,d1330.a2.a1,PSS19491
Acc11591,Acc11591.1,d3129.a1.a1,PSS19500
Acc11603,Acc11603.1,d3405.a1.a1,PSS19510
Acc11604,Acc11604.1,d1416.a1.a1,PSS19511
Acc11608,Acc11608.1,c633.a2.a1,PSS19515
Acc11620,Acc11620.1,c482.b30.a1,PSS19527
